hip_angle,knee_angle,hip_force_y,knee_force_y,hip_force_x,knee_force_x,hip_force_z,knee_force_z,hip_torque,knee_torque
-3.46043,20.2376,0.61975,-0.0538548,0.40939,0.221717,1.48783,0.621351,-9.84787,5.69918
-3.58736,20.0517,0.591912,-0.0400361,0.374338,0.207595,1.49914,0.608185,-5.14133,5.84658
-3.72927,20.079,0.56539,-0.014989,0.349002,0.193159,1.47873,0.587306,-10.4408,3.24905
-3.87341,19.8709,0.459723,0.0261399,0.320478,0.11799,1.4159,0.526446,1.4131,0.929286
-4.03047,19.731,0.394184,0.0611817,0.316474,0.0618419,1.3717,0.495453,5.0584,-1.00874
-4.20075,19.6884,0.410028,0.0532071,0.335374,0.0597278,1.36835,0.504403,-1.4255,-2.95955
-4.39127,19.525,0.454933,0.0316517,0.342352,0.0867795,1.38906,0.521257,4.03716,0.183769
-4.57191,19.4333,0.539134,-0.00832213,0.349725,0.147081,1.43661,0.561725,-3.96264,2.33544
-4.73446,19.3967,0.638276,-0.0535911,0.360983,0.221436,1.48234,0.611668,-9.94837,5.25665
-4.90419,19.2809,0.672271,-0.073362,0.353935,0.24922,1.48945,0.627278,-8.44784,7.75101
-5.04603,19.179,0.630556,-0.0575298,0.32849,0.224875,1.46437,0.60864,-9.24518,6.22335
-5.22672,19.0363,0.565255,-0.0305433,0.301657,0.180219,1.4312,0.579851,-5.57994,4.33501
-5.41808,18.9396,0.52428,-0.00652038,0.289121,0.146992,1.41511,0.562987,-3.25567,2.79394
-5.58434,18.83,0.509101,0.0111077,0.286308,0.127435,1.41986,0.558996,-3.12245,1.39947
-5.72342,18.7059,0.522516,0.0131684,0.29169,0.12907,1.43279,0.56451,-1.70402,1.52938
-5.84297,18.6243,0.582229,-0.00761378,0.305879,0.16287,1.43914,0.57823,-4.99016,3.00764
-5.96424,18.5274,0.628937,-0.0325155,0.318844,0.192287,1.43231,0.586447,-5.7408,4.73332
-6.07662,18.4253,0.626176,-0.039862,0.326947,0.189974,1.4171,0.583106,-5.41953,5.02458
-6.17161,18.3432,0.590011,-0.0286138,0.324929,0.163958,1.40423,0.572494,-5.2366,3.6272
